CellName,CellID
E4.5_P2_Cell3_embryo4_single,134
E4.5_P2_Cell5_embryo4_single,135
E4.5_P2_Cell6_embryo4_single,136
E4.5_P2_Cell7_embryo4_double,137
E4.5_P2_Cell15_embryo4_single,143
E4.5_P2_Cell16_embryo4_single,144
E4.5_P2_Cell19_embryo4_double,145
E4.5_P2_Cell28_embryo4_single,150
E4.5_P2_Cell29_embryo4_single,151
E4.5_P2_Cell30_embryo4_double,152
E4.5_P2_Cell31_embryo4_double,153
E4.5_P2_Cell39_embryo4_single,158
E4.5_P2_Cell40_embryo4_single,159
E4.5_P2_Cell41_embryo4_single,160
E4.5_P2_Cell42_embryo4_double,161
E4.5_P2_Cell43_embryo4_double,162
E4.5_P2_Cell51_embryo4_single,169
E4.5_P2_Cell52_embryo4_single,170
E4.5_P2_Cell53_embryo4_single,171
E4.5_P2_Cell54_embryo4_double,172
E4.5_P2_Cell55_embryo4_double,173
E4.5_P2_Cell63_embryo4_single,179
E4.5_P2_Cell64_embryo4_single,180
E4.5_P2_Cell65_embryo4_single,181
E4.5_P2_Cell66_embryo4_double,182
E4.5_P2_Cell67_embryo4_double,183
E4.5_P2_Cell75_embryo4_single,187
E4.5_P2_Cell76_embryo4_single,188
E4.5_P2_Cell77_embryo4_single,189
E4.5_P2_Cell78_embryo4_double,190
E4.5_P2_Cell79_embryo4_double,191
E4.5_P2_Cell87_embryo4_single,197
E4.5_P2_Cell88_embryo4_single,198
E4.5_P2_Cell89_embryo4_single,199
